product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,data_src,date
1777,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/sweet-pea,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Sweet Pea,,25405,Martinsburg,"392,990","2,203",No Plan,19/05/2024 10:01:00 PM
5016,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run/goldenrod,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Goldenrod,,25405,Martinsburg,"367,990","1,762",No Plan,19/05/2024 10:01:00 PM
8249,Hovnanian,https://www.khov.com/find-new-homes/west-virginia/martinsburg/25405/k-hovnanian-homes/ascend-at-liberty-run-townhomes/greenwich,Home Builder,,K.Hovnanian Homes,Martinsburg,WV,Greenwich,,25405,Martinsburg,"275,990","1,918",No Plan,19/05/2024 10:01:00 PM
5549,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/friesian-020672bc-46a2-4b9d-94dc-4d9e24ceab78,Home Builder,,K.Hovnanian Homes,Patterson,CA,Friesian,,95363,Patterson,"527,224","1,912",No Plan,19/05/2024 10:01:00 PM
5810,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/foxglove,Home Builder,,K.Hovnanian Homes,Patterson,CA,Foxglove,,95363,Patterson,"566,056","2,189",No Plan,19/05/2024 10:01:00 PM
5714,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove/sunflower,Home Builder,,K.Hovnanian Homes,Patterson,CA,Sunflower,,95363,Patterson,"594,137","2,506",No Plan,19/05/2024 10:01:00 PM
3056,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/goldenrod-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Goldenrod II,,95692,Wheatland,"491,990","1,711",No Plan,19/05/2024 10:01:00 PM
8938,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/passionflower-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Passionflower II,,95692,Wheatland,"543,409","1,977",No Plan,19/05/2024 10:01:00 PM
4884,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/water-lily-ii,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Water Lily II,,95692,Wheatland,"573,833","2,548",No Plan,19/05/2024 10:01:00 PM
9945,Hovnanian,https://www.khov.com/find-new-homes/california/wheatland/95692/k-hovnanian-homes/aspire-at-caliterra-ranch/passionflower-ii-esp,Home Builder,,K.Hovnanian Homes,Wheatland,CA,Passionflower II ESP,,95692,Wheatland,"536,601","1,977",No Plan,19/05/2024 10:01:00 PM
9992,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34952/k-hovnanian-homes/aspire-at-east-lake/stetson,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Stetson,,34952,Port-St-Lucie,"349,995","1,666",No Plan,19/05/2024 10:01:00 PM
7401,Hovnanian,https://www.khov.com/find-new-homes/delaware/felton/19943/k-hovnanian-homes/aspire-at-fork-landing/oleander,Home Builder,,K.Hovnanian Homes,Felton,DE,Oleander,,19943,Felton,"499,900","2,081",No Plan,19/05/2024 10:01:00 PM
2255,Hovnanian,https://www.khov.com/find-new-homes/florida/port-st-lucie/34983/k-hovnanian-homes/aspire-at-hawks-ridge/fullerton-v,Home Builder,,K.Hovnanian Homes,Port-St-Lucie,FL,Fullerton V,,34983,Port-St-Lucie,"344,995","1,992",No Plan,19/05/2024 10:01:00 PM
