address,latirude,longitude,url
2999 Street Rd,40.1184168,-74.9556574,"https://www.google.com/maps/@40.1184168,-74.9556574,17z?entry=ttu"
3131 South Las Vegas Boulevard,36.127366,-115.1686922,"https://www.google.com/maps/@36.127366,-115.1686922,17z?entry=ttu"
16101 N. 83 Ave.,33.6312146,-112.2361804,"https://www.google.com/maps/@33.6312146,-112.2361804,17z?entry=ttu"
4400 University Dr.,33.4222225,-112.0266525,"https://www.google.com/maps/@33.4222225,-112.0266525,11z?entry=ttu"
32-250 Bob Hope Drive,33.8147966,-116.4110215,"https://www.google.com/maps/@33.8147966,-116.4110215,17z?entry=ttu"
2241 Shelter Island Dr.,33.3364437,-115.9927499,"https://www.google.com/maps/@33.3364437,-115.9927499,17z?entry=ttu"
291 Keswick Ave. & Easton Rd.,40.1063448,-75.1497645,"https://www.google.com/maps/@40.1063448,-75.1497645,17z?entry=ttu"
2202 West Reynolds Street,40.0014575,-75.0679135,"https://www.google.com/maps/@40.0014575,-75.0679135,17z?entry=ttu"
100 N Hayford Rd,47.6583752,-117.5673182,"https://www.google.com/maps/@47.6583752,-117.5673182,17z?entry=ttu"
1300 Mac Davis Lane,33.590554,-101.8518855,"https://www.google.com/maps/@33.590554,-101.8518855,17z?entry=ttu"
3317 Forty Mile Road,33.5571976,-101.8908146,"https://www.google.com/maps/@33.5571976,-101.8908146,13z?entry=ttu"
505 Deaderick St.,36.164967,-86.7845642,"https://www.google.com/maps/@36.164967,-86.7845642,17z?entry=ttu"
700 Penn Street,39.9794854,-84.6325281,"https://www.google.com/maps/@39.9794854,-84.6325281,6z?entry=ttu"
203 Cornell Dr,36.2089592,-84.786749,"https://www.google.com/maps/@36.2089592,-84.786749,6z?entry=ttu"
18 Highway 50,43.8797054,-79.7414995,"https://www.google.com/maps/@43.8797054,-79.7414995,17z?entry=ttu"
30 Forest Street,-37.3545881,144.5219675,"https://www.google.com/maps/@-37.3545881,144.5219675,17z?entry=ttu"
1010 N W C Macinnes Pl,-37.3545881,144.5219675,"https://www.google.com/maps/@-37.3545881,144.5219675,17z?entry=ttu"
1 Martin Luther King Jr Blvd,34.0108553,-118.3158361,"https://www.google.com/maps/@34.0108553,-118.3158361,17z?entry=ttu"
913 Ocean Ave.,34.020769,-118.5078462,"https://www.google.com/maps/@34.020769,-118.5078462,17z?entry=ttu"
334 W. Spokane Falls Blvd.,47.6609722,-117.4149686,"https://www.google.com/maps/@47.6609722,-117.4149686,17z?entry=ttu"
190 S. Cascade Ave.,47.129283,-118.3756139,"https://www.google.com/maps/@47.129283,-118.3756139,17z?entry=ttu"
2700 E. Independence Blvd.,35.2044934,-80.7959181,"https://www.google.com/maps/@35.2044934,-80.7959181,18z?entry=ttu"
Campus Dr,35.2161582,-80.9228933,"https://www.google.com/maps/@35.2161582,-80.9228933,17z?entry=ttu"
One Borgata Way,39.3786197,-74.4382677,"https://www.google.com/maps/@39.3786197,-74.4382677,17z?entry=ttu"
1690 Event Center Dr,43.4812705,-112.0681221,"https://www.google.com/maps/@43.4812705,-112.0681221,17z?entry=ttu"
"241, 20th Street NW",43.479897,-112.0386926,"https://www.google.com/maps/@43.479897,-112.0386926,16z?entry=ttu"
1 East Main Street,41.9865147,-73.4226042,"https://www.google.com/maps/@41.9865147,-73.4226042,17z?entry=ttu"
1111 N McMullen Booth Rd.,27.976041,-82.7073504,"https://www.google.com/maps/@27.976041,-82.7073504,17z?entry=ttu"
89 Guest St,42.3566778,-71.1465898,"https://www.google.com/maps/@42.3566778,-71.1465898,17z?entry=ttu"
2500 E. Second Street,39.527378,-119.7841529,"https://www.google.com/maps/@39.527378,-119.7841529,17z?entry=ttu"
"1490 Buena Vista Dr,",39.5416427,-119.8241448,"https://www.google.com/maps/@39.5416427,-119.8241448,17z?entry=ttu"
110 9th Ave. SW,39.5714309,-119.8385797,"https://www.google.com/maps/@39.5714309,-119.8385797,13z?entry=ttu"
409 Blackwell Street,35.991589,-78.9065919,"https://www.google.com/maps/@35.991589,-78.9065919,17z?entry=ttu"
1800 Argyle Street,44.6483409,-63.5783062,"https://www.google.com/maps/@44.6483409,-63.5783062,17z?entry=ttu"
4455 Paradise Rd.,36.1102253,-115.1578927,"https://www.google.com/maps/@36.1102253,-115.1578927,17z?entry=ttu"
650 Hamilton St,36.1212178,-115.2542008,"https://www.google.com/maps/@36.1212178,-115.2542008,12z?entry=ttu"
1703 Taylor Street,36.1906025,-115.1728743,"https://www.google.com/maps/@36.1906025,-115.1728743,17z?entry=ttu"
101 West Broad St.,38.2121674,-77.9669315,"https://www.google.com/maps/@38.2121674,-77.9669315,9z?entry=ttu"
2801 NE 50th Street,38.8987506,-76.9321658,"https://www.google.com/maps/@38.8987506,-76.9321658,17z?entry=ttu"
178 Victoria St,3.0469852,-147.7488832,"https://www.google.com/maps/@3.0469852,-147.7488832,3z?entry=ttu"
1751 Gentilly Boulevard,29.9836851,-90.0796332,"https://www.google.com/maps/@29.9836851,-90.0796332,17z?entry=ttu"
8330 Riverside Pkwy,36.0408166,-95.9654255,"https://www.google.com/maps/@36.0408166,-95.9654255,17z?entry=ttu"
4645 Heatherdowns Blvd.,41.5924522,-83.6540352,"https://www.google.com/maps/@41.5924522,-83.6540352,17z?entry=ttu"
TBD,46.423669,-129.9427085,"https://www.google.com/maps/@46.423669,-129.9427085,3z?entry=ttu"
1800 University Dr N,46.9029522,-96.8040687,"https://www.google.com/maps/@46.9029522,-96.8040687,17z?entry=ttu"
149 Westchester Avenue,41.0014747,-73.6680148,"https://www.google.com/maps/@41.0014747,-73.6680148,17z?entry=ttu"
5001 Coliseum Dr.,32.8656354,-80.0249944,"https://www.google.com/maps/@32.8656354,-80.0249944,17z?entry=ttu"
5001 Coliseum Dr,32.8656354,-80.0249944,"https://www.google.com/maps/@32.8656354,-80.0249944,17z?entry=ttu"
Boyce Thompson Dr,32.2735199,-90.0295901,"https://www.google.com/maps/@32.2735199,-90.0295901,17z?entry=ttu"
1 Amon Carter Square,32.7444901,-97.3702425,"https://www.google.com/maps/@32.7444901,-97.3702425,17z?entry=ttu"
3355 Las Vegas Blvd S,36.1220794,-115.1721963,"https://www.google.com/maps/@36.1220794,-115.1721963,17z?entry=ttu"
1 Theatre Dr,36.1220794,-115.1721963,"https://www.google.com/maps/@36.1220794,-115.1721963,17z?entry=ttu"
221 Walnut St.,36.1380789,-115.1913958,"https://www.google.com/maps/@36.1380789,-115.1913958,17z?entry=ttu"
6050 Universal Blvd.,28.4736856,-81.4702188,"https://www.google.com/maps/@28.4736856,-81.4702188,17z?entry=ttu"
2126 SW Halsey,28.4977166,-81.3849871,"https://www.google.com/maps/@28.4977166,-81.3849871,17z?entry=ttu"
400 West College Ave,40.7915443,-77.867679,"https://www.google.com/maps/@40.7915443,-77.867679,17z?entry=ttu"
646 Main St.,40.9433118,-73.1041969,"https://www.google.com/maps/@40.9433118,-73.1041969,17z?entry=ttu"
201 E. Brambleton Ave.,36.8520783,-76.2888176,"https://www.google.com/maps/@36.8520783,-76.2888176,17z?entry=ttu"
5899 Rama Road,28.6610356,77.1514668,"https://www.google.com/maps/@28.6610356,77.1514668,17z?entry=ttu"
2201 W Cesar Chavez Ln,43.6065092,-116.2096034,"https://www.google.com/maps/@43.6065092,-116.2096034,17z?entry=ttu"
650 Laguna Canyon Rd.,33.5479337,-117.7848877,"https://www.google.com/maps/@33.5479337,-117.7848877,17z?entry=ttu"
5500 Campanile Dr.,33.6317717,-117.8639287,"https://www.google.com/maps/@33.6317717,-117.8639287,17z?entry=ttu"
318 W. 4th St.,33.7478936,-117.8730177,"https://www.google.com/maps/@33.7478936,-117.8730177,17z?entry=ttu"
4201 Versailles Road,33.7385957,-117.769976,"https://www.google.com/maps/@33.7385957,-117.769976,17z?entry=ttu"
625 West James Street,34.0899514,-117.3842255,"https://www.google.com/maps/@34.0899514,-117.3842255,17z?entry=ttu"
373 Douglas Ave. #A,42.0444691,-88.2862567,"https://www.google.com/maps/@42.0444691,-88.2862567,17z?entry=ttu"
201 W Lodgepole St,39.6258073,-106.0497737,"https://www.google.com/maps/@39.6258073,-106.0497737,17z?entry=ttu"
118 Palafox Pl,30.4108013,-87.2173373,"https://www.google.com/maps/@30.4108013,-87.2173373,17z?entry=ttu"
324 S Mint St,35.2285498,-80.8519694,"https://www.google.com/maps/@35.2285498,-80.8519694,17z?entry=ttu"
15850 North Bullard Avenue,33.6286572,-112.3796311,"https://www.google.com/maps/@33.6286572,-112.3796311,17z?entry=ttu"
3640 Colonel Glenn Highway,39.7820445,-84.0548755,"https://www.google.com/maps/@39.7820445,-84.0548755,17z?entry=ttu"
536 West 100 South,40.76736,-111.9090299,"https://www.google.com/maps/@40.76736,-111.9090299,17z?entry=ttu"
5400 W 29th Ave,41.566397,-87.4060149,"https://www.google.com/maps/@41.566397,-87.4060149,17z?entry=ttu"
300 S Broad St,41.5184893,-87.430329,"https://www.google.com/maps/@41.5184893,-87.430329,17z?entry=ttu"
1020 E. University Blvd.,32.2312392,-110.9579743,"https://www.google.com/maps/@32.2312392,-110.9579743,17z?entry=ttu"
4720 Alexander Blvd NE,35.1346084,-106.6184952,"https://www.google.com/maps/@35.1346084,-106.6184952,17z?entry=ttu"
777 Casino Center Drive,41.6941773,-87.5082493,"https://www.google.com/maps/@41.6941773,-87.5082493,17z?entry=ttu"
30 N Van Brunt St,40.8953954,-73.9776347,"https://www.google.com/maps/@40.8953954,-73.9776347,17z?entry=ttu"
444 N Mt Rushmore Rd,44.0879199,-103.2281668,"https://www.google.com/maps/@44.0879199,-103.2281668,17z?entry=ttu"
11000 Stadium Rd NW,53.5576535,-113.4788199,"https://www.google.com/maps/@53.5576535,-113.4788199,17z?entry=ttu"
