product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,site_plan,date,Sales Model,Closed,Quick Delivery,Sold,Unavailable,Future Development,Available,Reserved,total
2314,Hovnanian,https://www.khov.com/find-new-homes/texas/rosenberg/77471/k-hovnanian-homes/kingdom-heights,Home Builder,,K.Hovnanian Homes,Rosenberg,TX,Kingdom Heights,,77471,Rosenberg,"3,47,990","1,842",plan_available,20/05/24,0,72,5,39,1,0,13,0,130
1011,Hovnanian,https://www.khov.com/find-new-homes/california/rancho-cordova/95742/k-hovnanian-homes/paseo-at-the-ranch,Home Builder,,K.Hovnanian Homes,Rancho-Cordova,CA,Paseo at The Ranch,,95742,Rancho-Cordova,"5,20,990","1,727",plan_available,20/05/24,2,46,17,6,0,58,0,1,130
9153,Hovnanian,https://www.khov.com/find-new-homes/arizona/maricopa/85138/k-hovnanian-homes/rancho-mirage-23,Home Builder,,K.Hovnanian Homes,Maricopa,AZ,Rancho Mirage 23,,85138,Maricopa,"4,69,990","2,292",plan_available,20/05/24,2,0,26,1,0,98,3,0,130
2550,Hovnanian,https://www.khov.com/find-new-homes/california/bakersfield/93311/k-hovnanian-homes/sendero-ranch,Home Builder,,K.Hovnanian Homes,Bakersfield,CA,Sendero Ranch,,93311,Bakersfield,"5,69,990","1,896",plan_available,20/05/24,1,115,1,12,0,0,0,0,129
7097,Hovnanian,https://www.khov.com/find-new-homes/delaware/felton/19943/k-hovnanian-homes/aspire-at-fork-landing/daffodil,Home Builder,,K.Hovnanian Homes,Felton,DE,Aspire at Fork Landing,,19943,Felton,"4,99,900","2,081",plan_available,20/05/24,0,114,0,14,0,0,0,0,128
8937,Hovnanian,https://www.khov.com/find-new-homes/delaware/felton/19943/k-hovnanian-homes/aspire-at-fork-landing/goldenrod,Home Builder,,K.Hovnanian Homes,Felton,DE,Aspire at Fork Landing,,19943,Felton,"4,99,900","2,081",plan_available,20/05/24,0,114,0,14,0,0,0,0,128
9382,Hovnanian,https://www.khov.com/find-new-homes/delaware/felton/19943/k-hovnanian-homes/aspire-at-fork-landing/passionflower,Home Builder,,K.Hovnanian Homes,Felton,DE,Aspire at Fork Landing,,19943,Felton,"4,99,900","2,081",plan_available,20/05/24,0,114,0,14,0,0,0,0,128
1212,Hovnanian,https://www.khov.com/find-new-homes/delaware/felton/19943/k-hovnanian-homes/aspire-at-fork-landing,Home Builder,,K.Hovnanian Homes,Felton,DE,Aspire at Fork Landing,,19943,Felton,"4,99,900","2,081",plan_available,20/05/24,0,114,0,14,0,0,0,0,128
9004,Hovnanian,https://www.khov.com/find-new-homes/texas/sherman/75092/k-hovnanian-homes/heritage-ranch,Home Builder,,K.Hovnanian Homes,Sherman,TX,Heritage Ranch,,75092,Sherman,"3,58,900","1,861",plan_available,20/05/24,0,0,1,1,2,73,48,0,125
6343,Hovnanian,https://www.khov.com/find-new-homes/arizona/glendale/85303/k-hovnanian-homes/ambra,Home Builder,,K.Hovnanian Homes,Glendale,AZ,Ambra,,85303,Glendale,"4,57,906","1,416",plan_available,20/05/24,2,19,6,57,0,37,1,0,122
4687,Hovnanian,https://www.khov.com/find-new-homes/california/roseville/95747/k-hovnanian-homes/firefly-at-winding-creek,Home Builder,,K.Hovnanian Homes,Roseville,CA,Firefly at Winding Creek,,95747,Roseville,"6,59,990","1,829",plan_available,20/05/24,1,118,0,0,3,0,0,0,122
3801,Hovnanian,https://www.khov.com/find-new-homes/california/rancho-cordova/95742/k-hovnanian-homes/sagebrush-at-the-ranch,Home Builder,,K.Hovnanian Homes,Rancho-Cordova,CA,Sagebrush at The Ranch,,95742,Rancho-Cordova,"6,16,616","1,785",plan_available,20/05/24,2,71,12,11,0,20,0,0,116
6303,Hovnanian,https://www.khov.com/find-new-homes/california/bakersfield/93306/k-hovnanian-homes/lantana,Home Builder,,K.Hovnanian Homes,Bakersfield,CA,Lantana,,93306,Bakersfield,"4,47,990","1,900",plan_available,20/05/24,1,74,9,12,2,15,0,0,113
4023,Hovnanian,https://www.khov.com/find-new-homes/texas/angleton/77515/k-hovnanian-homes/windrose-green,Home Builder,,K.Hovnanian Homes,Angleton,TX,Windrose Green,,77515,Angleton,"2,73,990","1,390",plan_available,20/05/24,2,59,14,11,1,0,16,0,103
6227,Hovnanian,https://www.khov.com/find-new-homes/california/lathrop/95330/k-hovnanian-homes/pacifica-at-stanford-crossing,Home Builder,,K.Hovnanian Homes,Lathrop,CA,Pacifica at Stanford Crossing,,95330,Lathrop,"8,08,654","2,564",plan_available,20/05/24,2,0,5,11,1,82,0,0,101
9168,Hovnanian,https://www.khov.com/find-new-homes/new-jersey/wall-township/07753/k-hovnanian-homes/townes-at-quail-ridge,Home Builder,,K.Hovnanian Homes,Wall-Township,NJ,Townes at Quail Ridge,,7753,Wall-Township,"7,23,990","2,220",plan_available,20/05/24,2,22,5,37,0,21,13,0,100
4264,Hovnanian,https://www.khov.com/find-new-homes/california/lancaster/93536/k-hovnanian-homes/westview-estates,Home Builder,,K.Hovnanian Homes,Lancaster,CA,West View Estates,,93536,Lancaster,"5,21,990","1,925",plan_available,20/05/24,2,32,9,15,0,41,0,0,99
2949,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows,Home Builder,,K.Hovnanian Homes,Elyria,OH,Harvest Meadows,,44035,Elyria,"2,71,990","1,439",plan_available,20/05/24,1,64,2,24,0,1,4,1,97
7729,Hovnanian,https://www.khov.com/find-new-homes/arizona/phoenix/85085/k-hovnanian-homes/17-north,Home Builder,,K.Hovnanian Homes,Phoenix,AZ,17 North,,85085,Phoenix,"3,89,990","1,397",plan_available,20/05/24,3,0,43,16,26,4,4,0,96
3598,Hovnanian,https://www.khov.com/find-new-homes/california/indio/92203/k-hovnanian-homes/aguila-at-terra-lago,Home Builder,,K.Hovnanian Homes,Indio,CA,Aguila at Terra Lago,,92203,Indio,"5,40,990","1,780",plan_available,20/05/24,2,44,3,13,2,31,0,1,96
8849,Hovnanian,https://www.khov.com/find-new-homes/texas/needville/77461/k-hovnanian-homes/tejas-landing,Home Builder,,K.Hovnanian Homes,Needville,TX,Tejas Landing,,77461,Needville,"4,35,990","2,341",plan_available,20/05/24,1,8,9,3,31,0,43,1,96
6376,Hovnanian,https://www.khov.com/find-new-homes/virginia/fredericksburg/22408/k-hovnanian-homes/the-riverfront-at-new-post,Home Builder,,K.Hovnanian Homes,Fredericksburg,VA,The Riverfront at New Post,,22408,Fredericksburg,"7,01,990","2,323",plan_available,20/05/24,0,78,0,14,0,0,4,0,96
2741,Hovnanian,https://www.khov.com/find-new-homes/maryland/baltimore/21230/k-hovnanian-homes/locke-landing,Home Builder,,K.Hovnanian Homes,Baltimore,MD,Locke Landing,,21230,Baltimore,"5,15,616","1,603",plan_available,20/05/24,2,0,3,9,0,72,10,0,96
7187,Hovnanian,https://www.khov.com/find-new-homes/texas/waller/77484/k-hovnanian-homes/oakwood-estates/hoover-ii,Home Builder,,K.Hovnanian Homes,Waller,TX,Oakwood Estates,,77484,Waller,"3,09,950","1,842",plan_available,20/05/24,1,22,10,8,0,8,43,0,92
9337,Hovnanian,https://www.khov.com/find-new-homes/texas/waller/77484/k-hovnanian-homes/oakwood-estates/sawyer-ii,Home Builder,,K.Hovnanian Homes,Waller,TX,Oakwood Estates,,77484,Waller,"3,09,950","1,842",plan_available,20/05/24,1,22,10,8,0,8,43,0,92
9774,Hovnanian,https://www.khov.com/find-new-homes/texas/waller/77484/k-hovnanian-homes/oakwood-estates,Home Builder,,K.Hovnanian Homes,Waller,TX,Oakwood Estates,,77484,Waller,"3,09,950","1,842",plan_available,20/05/24,1,22,10,8,0,8,43,0,92
9065,Hovnanian,https://www.khov.com/find-new-homes/texas/conroe/77303/k-hovnanian-homes/stonebrooke,Home Builder,,K.Hovnanian Homes,Conroe,TX,Stonebrooke,,77303,Conroe,"2,45,990","1,413",plan_available,20/05/24,1,3,11,2,45,0,27,0,89
6448,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/sedona,Home Builder,,K.Hovnanian Homes,League-City,TX,The Commons at Sedona,,77573,League-City,"3,69,990","1,613",plan_available,20/05/24,1,4,11,3,0,66,2,0,87
4133,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Booth Farm,,44081,Perry-Village,"2,78,990","1,439",plan_available,20/05/24,2,31,13,11,1,0,28,0,86
6558,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/willard-ii,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
4049,Hovnanian,https://www.khov.com/find-new-homes/texas/mont-belvieu/77535/k-hovnanian-homes/st.-augustine-meadows/walden,Home Builder,,K.Hovnanian Homes,Mont-Belvieu,TX,St. Augustine Meadows,,77535,Mont-Belvieu,"4,57,950","2,931",plan_available,20/05/24,0,83,0,2,0,0,0,0,85
